generation,population_size,total_concepts,mutation_rate,natural_mutations,safe_triggers,avg_attributes,unique_attributes,inheritance_rate,concept_diversity,timestamp
0,30,15,0.3,0,0,2.066666666666667,61,0.0,2.70805020110221,1741001703.92911
1,100,76,0.3,29,0,2.45,63,0.97,2.8709734728159106,1741001705.1022372
2,100,97,0.3,23,0,2.73,64,0.97,3.0234635607233193,1741001705.1818557
3,100,111,0.3,32,0,3.24,74,0.97,2.9747355063223013,1741001705.187274
4,100,140,0.3,30,0,3.29,69,0.97,3.0383515619159502,1741001705.1927767
5,100,166,0.3,27,0,3.37,67,0.97,3.1109109355430618,1741001705.1983333
6,100,199,0.3,26,0,3.69,74,0.97,3.1551999814837948,1741001706.528672
7,100,220,0.3,33,0,3.98,78,0.97,3.047467978966656,1741001706.5350354
8,100,228,0.3,29,0,4.58,79,0.97,3.017578022243215,1741001706.5428698
9,100,244,0.3,27,0,4.88,83,0.97,3.067457032812733,1741001706.54941
10,100,267,0.3,32,0,5.04,86,0.97,3.0953008238180306,1741001706.5556102
11,100,296,0.3,29,0,5.12,84,0.97,3.105456516891207,1741001707.840326
12,100,324,0.3,32,0,5.34,92,0.97,3.1678861258989306,1741001707.8477633
13,100,357,0.3,33,0,5.45,92,0.97,3.234610437954024,1741001707.8545046
14,100,369,0.3,30,0,5.75,91,0.97,3.292618690585907,1741001707.8632157
15,100,363,0.3,32,0,6.3,97,0.97,3.19855028128872,1741001707.8703303
16,100,365,0.3,19,0,6.78,86,0.97,3.135035395205407,1741001709.2012658
17,100,371,0.3,30,0,7.27,103,0.97,3.1146150119195513,1741001709.2114747
18,100,402,0.3,26,0,7.31,102,0.97,3.172103461246691,1741001709.2190933
19,100,417,0.3,31,0,7.5,109,0.97,3.254023035935033,1741001709.226799
20,100,453,0.3,29,0,7.65,97,0.97,3.311814983849842,1741001709.2347393
21,100,477,0.3,31,0,7.95,103,0.97,3.3861714643346974,1741001710.5946498
22,100,502,0.3,25,0,8.37,101,0.97,3.3664175531283913,1741001710.6047015
23,100,537,0.3,30,0,8.5,104,0.97,3.404468694675208,1741001710.6140473
24,100,549,0.3,17,0,8.75,99,0.97,3.399155389983084,1741001710.6245186
25,100,554,0.3,32,0,9.08,97,0.97,3.3434206557242714,1741001710.6338978
26,100,584,0.3,30,0,9.71,106,0.97,3.392866745998805,1741001712.0014365
27,100,601,0.3,31,0,10.02,108,0.97,3.402075298338932,1741001712.0570915
28,100,624,0.3,23,0,10.09,99,0.97,3.2858156258267837,1741001712.0674558
29,100,640,0.3,25,0,10.31,94,0.97,3.26350299105763,1741001712.0770955
30,100,656,0.3,27,0,10.57,97,0.97,3.208920496047265,1741001712.0868597
31,100,672,0.3,25,0,10.86,97,0.97,3.1482767253499713,1741001713.4437044
32,100,683,0.3,27,0,11.24,106,0.97,3.2494255986769778,1741001713.4572282
33,100,714,0.3,32,0,11.62,109,0.97,3.3053487497992644,1741001713.4686677
34,100,729,0.3,32,0,12.08,115,0.97,3.367846344471278,1741001713.480342
35,100,737,0.3,28,0,12.58,119,0.97,3.437084285376825,1741001713.4915535
36,100,783,0.3,20,0,12.57,115,0.97,3.4368971218414033,1741001714.8493836
37,100,791,0.3,26,0,13.19,105,0.97,3.227429853854397,1741001714.8637474
38,100,822,0.3,24,0,13.31,105,0.97,3.2641273272286635,1741001714.876304
39,100,840,0.3,24,0,13.59,106,0.97,3.111863472894074,1741001714.8880494
40,100,858,0.3,34,0,13.89,112,0.97,3.208801323509858,1741001714.900202
41,100,871,0.3,30,0,14.16,100,0.97,3.1491083257724557,1741001716.2712038
42,100,901,0.3,26,0,13.98,89,0.97,3.2173105929223462,1741001716.2843053
43,100,918,0.3,33,0,14.4,104,0.97,3.287517209703676,1741001716.297327
44,100,940,0.3,27,0,14.56,100,0.97,3.3921146969164546,1741001716.3108387
45,100,975,0.3,33,0,14.47,106,0.97,3.453455343777381,1741001716.3245244
46,100,992,0.3,33,0,14.87,107,0.97,3.4688210062479996,1741001717.6677687
47,100,1006,0.3,35,0,15.25,106,0.97,3.4873967083073993,1741001717.6819608
48,100,1022,0.3,32,0,15.7,109,0.97,3.515939200971892,1741001717.69754
49,100,1022,0.3,34,0,16.12,110,0.97,3.490891036668978,1741001717.7119756
